construction heuristic,network name,delta
rand,Small.100.10.2.1.gexf,0.0
rand,Small.100.10.5.1.gexf,0.0
rand,R-MAT.100.5.1.gexf,0.0
rand,R-MAT.100.25.1.gexf,0.0
rand,Complete.100.1.1.gexf,0.010523462279887066
rand,Complete.100.20.1.gexf,0.12
rand,Rand.Uni.100.5.1.gexf,1.1842378929335004e-17
rand,Rand.Uni.100.25.1.gexf,7.209048173232684e-15
rand,Small.1000.10.2.1.gexf,0.0
rand,Small.1000.10.5.1.gexf,0.0
rand,R-MAT.1000.5.1.gexf,0.164
rand,R-MAT.1000.25.1.gexf,0.028000000000000004
rand,Complete.1000.1.1.gexf,3.8028247217880564e-13
rand,Complete.1000.20.1.gexf,0.0
rand,Rand.Uni.1000.5.1.gexf,0.0
rand,Rand.Uni.1000.25.1.gexf,1.1590728377086635e-14
cut,Small.100.10.2.1.gexf,1.6666666666666667
cut,Small.100.10.5.1.gexf,1.4566666666666668
cut,R-MAT.100.5.1.gexf,1.145
cut,R-MAT.100.25.1.gexf,6.989999999999998
cut,Complete.100.1.1.gexf,0.858316975600618
cut,Complete.100.20.1.gexf,16.178
cut,Rand.Uni.100.5.1.gexf,0.6999318962320196
cut,Rand.Uni.100.25.1.gexf,0.9573259111037655
cut,Small.1000.10.2.1.gexf,1.4566666666666668
cut,Small.1000.10.5.1.gexf,1.2766666666666666
cut,R-MAT.1000.5.1.gexf,1.796
cut,R-MAT.1000.25.1.gexf,7.777999999999999
cut,Complete.1000.1.1.gexf,0.9892829021267919
cut,Complete.1000.20.1.gexf,18.863999999999997
cut,Rand.Uni.1000.5.1.gexf,0.4127036696698854
cut,Rand.Uni.1000.25.1.gexf,0.854884582422158
